filesize	SEQ_SAMPLE
962396816	WT_N_F1_alpha_2_T2_SC_5FC_50estra
797000646	WT_N_F1_alpha_2_T2_SC_5FC
1150598425	WT_N_F1_alpha_2_T2_SC
890321599	WT_N_F1_alpha_r1_T0_SC_5FC_12.5estra
890321599	WT_N_F1_alpha_r1_T0_SC_5FC_50estra
890321599	WT_N_F1_alpha_r1_T0_SC_5FC
890321599	WT_N_F1_alpha_r1_T0_SC
655805751	WT_N_F1_alpha_r2_T0_SC_5FC_12.5estra
655805751	WT_N_F1_alpha_r2_T0_SC_5FC_50estra
655805751	WT_N_F1_alpha_r2_T0_SC_5FC
655805751	WT_N_F1_alpha_r2_T0_SC
1017735700	WT_N_F2_alpha_1_T1_SC_5FC_12.5estra
999727334	WT_N_F2_alpha_1_T1_SC_5FC_50estra
1161193481	WT_N_F2_alpha_1_T1_SC_5FC
1178074607	WT_N_F2_alpha_1_T1_SC
1323196436	WT_N_F2_alpha_1_T2_SC_5FC_12.5estra
1428218226	WT_N_F2_alpha_1_T2_SC_5FC_50estra
1339499742	WT_N_F2_alpha_1_T2_SC_5FC
1117131042	WT_N_F2_alpha_1_T2_SC
728076630	WT_N_F2_alpha_2_T1_SC_5FC_12.5estra
807994137	WT_N_F2_alpha_2_T1_SC_5FC_50estra
1546635065	WT_N_F2_alpha_2_T1_SC_5FC
1552931248	WT_N_F2_alpha_2_T1_SC
599994789	WT_N_F2_alpha_2_T2_SC_5FC_12.5estra
661973089	WT_N_F2_alpha_2_T2_SC_5FC_50estra
561265352	WT_N_F2_alpha_2_T2_SC_5FC
885409293	WT_N_F2_alpha_2_T2_SC
1157373758	WT_N_F2_alpha_r1_T0_SC_5FC_12.5estra
1157373758	WT_N_F2_alpha_r1_T0_SC_5FC_50estra
1157373758	WT_N_F2_alpha_r1_T0_SC_5FC
1157373758	WT_N_F2_alpha_r1_T0_SC
1496913200	WT_N_F2_alpha_r2_T0_SC_5FC_12.5estra
1496913200	WT_N_F2_alpha_r2_T0_SC_5FC_50estra
1496913200	WT_N_F2_alpha_r2_T0_SC_5FC
1496913200	WT_N_F2_alpha_r2_T0_SC
