filesize	Sample_name	read
460668500	WT_N_F1_alpha_1_T2_SC_5FC_50estra	R2
285087647	WT_N_F1_alpha_1_T2_SC_5FC	R1
377157895	WT_N_F1_alpha_1_T2_SC_5FC	R2
395921951	WT_N_F1_alpha_1_T2_SC	R1
459533450	WT_N_F1_alpha_1_T2_SC	R2
385572979	WT_N_F1_alpha_2_T1_SC_5FC_12.5estra	R1
472247628	WT_N_F1_alpha_2_T1_SC_5FC_12.5estra	R2
353331241	WT_N_F1_alpha_2_T1_SC_5FC_50estra	R1
474269213	WT_N_F1_alpha_2_T1_SC_5FC_50estra	R2
298175059	WT_N_F1_alpha_2_T1_SC_5FC	R1
333130296	WT_N_F1_alpha_2_T1_SC_5FC	R2
239558473	WT_N_F1_alpha_2_T1_SC	R1
279050909	WT_N_F1_alpha_2_T1_SC	R2
287038443	WT_N_F1_alpha_2_T2_SC_5FC_12.5estra	R1
345696881	WT_N_F1_alpha_2_T2_SC_5FC_12.5estra	R2
357052337	WT_N_F1_alpha_2_T2_SC_5FC_50estra	R1
417875267	WT_N_F1_alpha_2_T2_SC_5FC_50estra	R2
308148192	WT_N_F1_alpha_2_T2_SC_5FC	R1
352999186	WT_N_F1_alpha_2_T2_SC_5FC	R2
423051677	WT_N_F1_alpha_2_T2_SC	R1
557852312	WT_N_F1_alpha_2_T2_SC	R2
339791571	WT_N_F1_alpha_r1_T0_SC_5FC_12.5estra	R1
424728876	WT_N_F1_alpha_r1_T0_SC_5FC_12.5estra	R2
339791571	WT_N_F1_alpha_r1_T0_SC_5FC_50estra	R1
424728876	WT_N_F1_alpha_r1_T0_SC_5FC_50estra	R2
339791571	WT_N_F1_alpha_r1_T0_SC_5FC	R1
424728876	WT_N_F1_alpha_r1_T0_SC_5FC	R2
339791571	WT_N_F1_alpha_r1_T0_SC	R1
424728876	WT_N_F1_alpha_r1_T0_SC	R2
253048624	WT_N_F1_alpha_r2_T0_SC_5FC_12.5estra	R1
278136976	WT_N_F1_alpha_r2_T0_SC_5FC_12.5estra	R2
253048624	WT_N_F1_alpha_r2_T0_SC_5FC_50estra	R1
278136976	WT_N_F1_alpha_r2_T0_SC_5FC_50estra	R2
253048624	WT_N_F1_alpha_r2_T0_SC_5FC	R1
278136976	WT_N_F1_alpha_r2_T0_SC_5FC	R2
253048624	WT_N_F1_alpha_r2_T0_SC	R1
278136976	WT_N_F1_alpha_r2_T0_SC	R2
354992313	WT_N_F2_alpha_1_T1_SC_5FC_12.5estra	R1
355851143	WT_N_F2_alpha_1_T1_SC_5FC_12.5estra	R2
350424447	WT_N_F2_alpha_1_T1_SC_5FC_50estra	R1
361886279	WT_N_F2_alpha_1_T1_SC_5FC_50estra	R2
391848388	WT_N_F2_alpha_1_T1_SC_5FC	R1
397912801	WT_N_F2_alpha_1_T1_SC_5FC	R2
400286824	WT_N_F2_alpha_1_T1_SC	R1
387880081	WT_N_F2_alpha_1_T1_SC	R2
462873976	WT_N_F2_alpha_1_T2_SC_5FC_12.5estra	R1
493662816	WT_N_F2_alpha_1_T2_SC_5FC_12.5estra	R2
491499691	WT_N_F2_alpha_1_T2_SC_5FC_50estra	R1
547485141	WT_N_F2_alpha_1_T2_SC_5FC_50estra	R2
454777081	WT_N_F2_alpha_1_T2_SC_5FC	R1
523427374	WT_N_F2_alpha_1_T2_SC_5FC	R2
390431855	WT_N_F2_alpha_1_T2_SC	R1
415325279	WT_N_F2_alpha_1_T2_SC	R2
254740532	WT_N_F2_alpha_2_T1_SC_5FC_12.5estra	R1
243268979	WT_N_F2_alpha_2_T1_SC_5FC_12.5estra	R2
282350041	WT_N_F2_alpha_2_T1_SC_5FC_50estra	R1
280201507	WT_N_F2_alpha_2_T1_SC_5FC_50estra	R2
536066508	WT_N_F2_alpha_2_T1_SC_5FC	R1
619765459	WT_N_F2_alpha_2_T1_SC_5FC	R2
546301658	WT_N_F2_alpha_2_T1_SC	R1
568111057	WT_N_F2_alpha_2_T1_SC	R2
215901364	WT_N_F2_alpha_2_T2_SC_5FC_12.5estra	R1
208570600	WT_N_F2_alpha_2_T2_SC_5FC_12.5estra	R2
232850490	WT_N_F2_alpha_2_T2_SC_5FC_50estra	R1
229585306	WT_N_F2_alpha_2_T2_SC_5FC_50estra	R2
195052201	WT_N_F2_alpha_2_T2_SC_5FC	R1
198248337	WT_N_F2_alpha_2_T2_SC_5FC	R2
309311825	WT_N_F2_alpha_2_T2_SC	R1
312592201	WT_N_F2_alpha_2_T2_SC	R2
378453915	WT_N_F2_alpha_r1_T0_SC_5FC_12.5estra	R1
407170948	WT_N_F2_alpha_r1_T0_SC_5FC_12.5estra	R2
378453915	WT_N_F2_alpha_r1_T0_SC_5FC_50estra	R1
407170948	WT_N_F2_alpha_r1_T0_SC_5FC_50estra	R2
378453915	WT_N_F2_alpha_r1_T0_SC_5FC	R1
407170948	WT_N_F2_alpha_r1_T0_SC_5FC	R2
378453915	WT_N_F2_alpha_r1_T0_SC	R1
407170948	WT_N_F2_alpha_r1_T0_SC	R2
522095123	WT_N_F2_alpha_r2_T0_SC_5FC_12.5estra	R1
615680130	WT_N_F2_alpha_r2_T0_SC_5FC_12.5estra	R2
522095123	WT_N_F2_alpha_r2_T0_SC_5FC_50estra	R1
615680130	WT_N_F2_alpha_r2_T0_SC_5FC_50estra	R2
522095123	WT_N_F2_alpha_r2_T0_SC_5FC	R1
615680130	WT_N_F2_alpha_r2_T0_SC_5FC	R2
522095123	WT_N_F2_alpha_r2_T0_SC	R1
615680130	WT_N_F2_alpha_r2_T0_SC	R2
